number,temperature,pressure,acceleration
377,23.625,1010.24,"[9.76742, -0.392266, -0.0392266]"
378,23.25,1010.48,"[9.61051, -0.156906, -0.23536]"
379,23.625,1010.24,"[9.76742, -0.470719, -0.0784532]"
380,23.3125,1010.5,"[9.57129, -0.23536, -0.156906]"
381,23.6875,1010.24,"[9.80664, -0.353039, 0.0]"
382,23.1875,1010.5,"[9.41438, 0.0, -0.196133]"
383,23.6875,1010.24,"[9.7282, -0.470719, -0.0784532]"
384,23.1875,1010.5,"[9.57129, -0.196133, -0.353039]"
385,23.6875,1010.25,"[9.7282, -0.470719, 0.0]"
386,23.1875,1010.49,"[9.57129, -0.0392266, -0.23536]"
387,23.6875,1010.24,"[9.61051, -0.353039, 0.0]"
388,23.25,1010.49,"[9.53206, -0.0392266, -0.196133]"
389,23.6875,1010.25,"[9.76742, -0.392266, -0.0784532]"
390,23.6875,1010.24,"[9.80664, -0.509946, -0.0392266]"
391,23.6875,1010.25,"[9.68897, -0.470719, -0.11768]"
392,23.75,1010.25,"[9.76742, -0.509946, -0.0784532]"
393,23.6875,1010.25,"[9.84587, -0.431492, -0.0784532]"
394,23.6875,1010.25,"[9.76742, -0.470719, -0.0784532]"
395,23.6875,1010.25,"[9.80664, -0.470719, -0.156906]"
396,23.6875,1010.25,"[9.7282, -0.392266, -0.156906]"
397,23.75,1010.25,"[9.80664, -0.470719, -0.11768]"
398,23.75,1010.24,"[9.76742, -0.431492, 0.0]"
399,23.6875,1010.25,"[9.84587, -0.392266, -0.0784532]"
400,23.6875,1010.26,"[9.76742, -0.470719, -0.11768]"
401,23.75,1010.25,"[9.84587, -0.11768, -0.11768]"
402,23.6875,1010.25,"[9.64974, -0.588399, -0.0784532]"
403,23.75,1010.25,"[9.76742, -0.431492, 0.0]"
404,23.6875,1010.25,"[9.76742, -0.509946, -0.11768]"
405,23.6875,1010.25,"[9.7282, -0.509946, -0.0392266]"
406,23.6875,1010.25,"[9.7282, -0.470719, -0.196133]"
407,23.6875,1010.25,"[9.76742, -0.431492, -0.0392266]"
408,23.6875,1010.26,"[9.57129, -0.392266, -0.0784532]"
409,23.75,1010.23,"[9.76742, -0.353039, 0.0392266]"
410,23.25,1010.5,"[9.53206, -0.11768, -0.196133]"
411,23.6875,1010.24,"[9.7282, -0.470719, -0.11768]"
412,23.6875,1010.23,"[9.76742, -0.470719, -0.0392266]"
413,23.6875,1010.23,"[9.76742, -0.509946, -0.11768]"
414,23.6875,1010.24,"[9.76742, -0.392266, 0.0392266]"
415,23.6875,1010.24,"[9.76742, -0.392266, -0.0784532]"
416,23.6875,1010.25,"[9.64974, -0.509946, -0.0784532]"
417,23.6875,1010.26,"[9.7282, -0.313813, 0.0392266]"
418,23.1875,1010.5,"[9.41438, 0.0, -0.156906]"
419,23.3125,1010.5,"[9.57129, -0.11768, -0.196133]"
420,23.6875,1010.25,"[9.8851, -0.431492, -0.11768]"
421,23.3125,1010.51,"[9.45361, -0.0784532, -0.23536]"
